id,uuid,image_url,description,place_guess,latitude,longitude,private_place_guess,private_latitude,private_longitude,species_guess,scientific_name
308640041,258f4234-b2c1-46e6-8338-7c2e7951491e,https://inaturalist-open-data.s3.amazonaws.com/photos/556849331/medium.jpg,,"Chandol, Haryana 124109, India",28.4761428,76.5634531,,,,Neem,Azadirachta indica
312433923,29c95f52-308c-4df8-8767-1c661a0d2846,https://inaturalist-open-data.s3.amazonaws.com/photos/564097358/medium.jpg,,"Hno - 332, Maruti Udyog, Sector 18, Gurugram, Haryana 122015, India",28.4983694444,77.0706138889,,,,Neem,Azadirachta indica
317217955,fc242835-d09c-463b-aef0-a1b798a40ebc,https://inaturalist-open-data.s3.amazonaws.com/photos/573191804/medium.jpg,,"Bhondsi Nature Park, Gurgaon Division, Haryana, India",28.3603335237,77.0443800365,,,,Neem,Azadirachta indica
317947093,2e035ab4-5ff8-473f-9522-e709999e9775,https://inaturalist-open-data.s3.amazonaws.com/photos/574581813/medium.jpg,,"Sultanpur National Park, Gurgaon-Farukh Nagar Road, Sultanpur, Gurugram, Haryana 122006, India",28.4612567,76.890369,,,,Neem,Azadirachta indica
318563128,001089ed-1b29-4d3b-89c6-7df352b75bc6,https://static.inaturalist.org/photos/575762967/medium.jpg,,"543H, Sector 33, Gurugram, Haryana 122018, India",28.4296131972,77.0321300346,,,,Neem,Azadirachta indica
322174304,09fc25aa-cd9f-4256-bc0e-69d0e4267bad,https://static.inaturalist.org/photos/582771860/medium.jpg,,"Sector 33, Gurugram, Haryana, India",28.4302485455,77.0329918619,,,,Neem,Azadirachta indica
324202519,3fd4adf2-d710-4cc1-baeb-19c503a3e506,https://inaturalist-open-data.s3.amazonaws.com/photos/586749264/medium.jpg,,"Faridabad, Haryana, IN",28.4571337294,77.3735623044,,,,Neem,Azadirachta indica
324457197,9f89c40c-3a07-4aab-838b-31d276ed59df,https://inaturalist-open-data.s3.amazonaws.com/photos/587259942/medium.jpg,"Huge neem tree , with lush green ","Davilal Nagar, New Jyoti Park, Ravi Nagar, Sector 9, Gurugram, Haryana 122001, India",28.4601592345,77.0041628044,,,,Neem,Azadirachta indica
324457198,c204b34a-7540-4c35-b10a-c9653c24361c,https://inaturalist-open-data.s3.amazonaws.com/photos/587259946/medium.jpg,,"Davilal Nagar, New Jyoti Park, Ravi Nagar, Sector 9, Gurugram, Haryana 122001, India",28.4603128644,77.0043441024,,,,Neem,Azadirachta indica
328289768,f92ce4d7-1b96-4140-9e00-a7c1e093dac8,https://static.inaturalist.org/photos/594852270/medium.jpg,,"Khatranwa, Haryana, India",29.7779583333,75.0528,,,,Neem,Azadirachta indica
330426570,97281194-d7ce-4bc8-82fb-3d2791ef2dea,https://static.inaturalist.org/photos/599172308/medium.jpg,,"Sonepat Narela Road, Sonipat, Haryana, IN",28.9263544454,77.0594271286,,,,Neem,Azadirachta indica
